storm,start_date,end_date,met_office_report
Storm Aileen,2017-09-12,2017-09-13,
Ex-Hurricane Ophelia,2017-10-16,2017-10-17,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2017/ex-hurricane-ophelia-16-october-2017---met-office.pdf
Storm Brian,2017-10-21,2017-10-21,
Storm Caroline,2017-12-07,2017-12-07,
Storm Dylan,2017-12-30,2017-12-31,
Storm Eleanor,2018-01-02,2018-01-03,
Storm Fionn,2018-01-16,2018-01-16,
David,2018-01-18,2018-01-18,
Storm Georgina,2018-01-24,2018-01-24,
Storm Hector,2018-06-13,2018-06-14,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2018/strong-winds-from-storm-hector---met-office.pdf
Storm Ali,2018-09-19,2018-09-19,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2018/strong-winds-and-heavy-rain-from-storms-ali-and-bronagh---met-office.pdf
Storm Bronagh,2018-09-20,2018-09-21,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2018/strong-winds-and-heavy-rain-from-storms-ali-and-bronagh---met-office.pdf
Storm Callum,2018-10-12,2018-10-13,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2018/strong-winds-and-heavy-rain-from-storm-callum---met-office.pdf
Storm Deirdre,2018-12-15,2018-12-16,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2018/storm-deirdre---met-office.pdf
Storm Erik,2019-02-08,2019-02-09,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2019/2019_001_storm_erik.pdf
Storm Freya,2019-03-03,2019-03-04,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2019/2019_003_storm_freya.pdf
Storm Gareth,2019-03-12,2019-03-13,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2019/2019_004_stormy_spell.pdf
Storm Hannah,2019-04-27,2019-04-27,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2019/2019_005_storm_hannah.pdf
Storm Atiyah,2019-12-08,2019-12-09,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2020/2020_01_storm_brendan.pdf
Storm Brendan,2020-01-13,2020-01-14,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2020/2020_01_storm_brendan.pdf
Storm Ciara,2020-02-08,2020-02-09,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2020/2020_02_storm_ciara.pdf
Storm Dennis,2020-02-15,2020-02-16,https://www.metoffice.gov.uk/binaries/content/assets/metofficegovuk/pdf/weather/learn-about/uk-past-events/interesting/2020/2020_03_storm_dennis.pdf
Jorge,2020-02-28,2020-03-01,
