River,2005,2007,2008,2009,2010,2011
Avon West,,,,11,5,4
Avon (New Cut),8,19,11,13,22,6
Avon (Temple Meads-Conham),8,13,11,0,8,1
Begbrook,0,1,0,0,0,0
Boiling Wells,0,0,0,0,0,0
Brislington Brook,69,58,22,20,11,9
Colliters Brook,1,2,0,0,0,3
Coombe Brook,1,2,0,0,0,0
Cranbrook,1,0,0,0,0,0
Fishponds Brook,4,2,3,0,0,0
Floating Harbour,1,0,0,0,0,0
Frome,8,51,48,87,62,14
Hazel Brook,9,2,4,2,2,9
Henry Sleed Stream,0,0,0,1,0,0
Horfield Brook,7,3,4,1,1,0
Malago,20,4,8,3,1,3
Pigeonhouse stream,15,2,5,17,1,4
Trym,1,2,0,2,0,1
